time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446900000	18.5672	6.98599	5.00254	1.01158	0.437813	lidar	2.98402	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7131	7.19487	5.0126	1.02322	0.420708	radar	0.436603	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9127	7.3348	4.98389	1.00206	0.375325	lidar	4.64043	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9966	7.55483	4.95234	1.04896	0.420995	radar	4.67997	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0913	7.80085	4.96661	1.0861	0.438218	lidar	0.654496	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2084	8.01496	4.96317	1.10433	0.43333	radar	0.351196	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2907	8.22629	4.93951	1.13234	0.44136	lidar	1.78231	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3865	8.44343	4.93331	1.15106	0.432945	radar	2.44913	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4839	8.59967	4.86544	1.15778	0.419691	lidar	5.53943	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5698	8.81911	4.85352	1.18493	0.431941	radar	0.827012	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7348	8.98796	4.82874	1.16839	0.391501	lidar	4.79647	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8026	9.21944	4.82024	1.20549	0.42026	radar	1.08458	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9372	9.4299	4.82419	1.20535	0.397084	lidar	2.67253	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9769	9.66398	4.80511	1.25433	0.444718	radar	3.05052	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0689	9.88899	4.80797	1.26862	0.435979	lidar	0.439661	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1262	10.1367	4.82506	1.29435	0.435176	radar	6.70981	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1784	10.3909	4.8439	1.32368	0.442525	lidar	0.356659	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1916	10.6323	4.83086	1.37255	0.484508	radar	3.15301	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2539	10.889	4.85567	1.39293	0.479245	lidar	1.46797	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2821	11.1419	4.86855	1.4211	0.480389	radar	4.73493	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3177	11.3762	4.86201	1.44347	0.478967	lidar	0.0425768	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2621	11.6283	4.84704	1.52026	0.562535	radar	11.1569	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3352	11.8645	4.8507	1.5235	0.536101	lidar	4.50293	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3593	12.0998	4.85089	1.53036	0.497101	radar	3.61265	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3501	12.3722	4.88156	1.56349	0.504015	lidar	0.896503	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2993	12.6133	4.86918	1.62214	0.560115	radar	3.48525	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3244	12.8521	4.8666	1.63448	0.543989	lidar	1.72146	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3095	13.087	4.85768	1.66273	0.549575	radar	2.1632	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2732	13.3046	4.83225	1.6935	0.554479	lidar	1.27675	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2329	13.5407	4.82995	1.72106	0.550359	radar	1.32353	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2148	13.7923	4.84303	1.74072	0.541497	lidar	1.11885	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.157	14.0227	4.83523	1.7782	0.560204	radar	0.950047	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1043	14.2709	4.84872	1.80585	0.55904	lidar	0.244833	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0316	14.5006	4.84529	1.83803	0.562575	radar	1.43455	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9269	14.7462	4.86615	1.87934	0.574794	lidar	1.23655	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8587	14.967	4.85398	1.89787	0.554351	radar	3.42783	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8247	15.1894	4.83611	1.90907	0.538642	lidar	2.12689	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6911	15.4015	4.83308	1.98319	0.628165	radar	8.03469	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6553	15.6008	4.79237	1.99347	0.609123	lidar	3.83239	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5576	15.8106	4.78364	2.02118	0.60391	radar	1.43373	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4554	16.0212	4.77874	2.04992	0.602728	lidar	0.0284894	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3514	16.2321	4.77468	2.06691	0.575031	radar	1.86096	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2395	16.4128	4.74479	2.09738	0.578552	lidar	1.05453	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1184	16.6127	4.74123	2.12739	0.581352	radar	0.323766	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9921	16.8161	4.74447	2.15531	0.579996	lidar	0.0329808	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8351	17.0075	4.75526	2.21222	0.636811	radar	6.41931	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.672	17.2277	4.79562	2.24467	0.635062	lidar	1.48685	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5661	17.4347	4.78398	2.23248	0.553348	radar	6.16481	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3598	17.6159	4.81078	2.27857	0.570275	lidar	3.78902	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2229	17.8077	4.80415	2.28314	0.523843	radar	2.51294	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0893	17.9944	4.79514	2.30035	0.515357	lidar	0.912978	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9127	18.1513	4.7885	2.34227	0.543843	radar	1.92644	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7741	18.3009	4.75125	2.3648	0.54113	lidar	1.27335	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6377	18.4851	4.74339	2.37214	0.513477	radar	6.76977	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4498	18.6584	4.76325	2.39973	0.514404	lidar	0.348102	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2671	18.8021	4.75545	2.43391	0.528789	radar	1.76905	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1021	18.9414	4.73209	2.4587	0.528251	lidar	0.467798	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
